Row.names	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val
16835436	LOC105371809	uncharacterized LOC105371809	4.96733566666666	7.5692844	46.155304076661	9.30813827071255e-27	3.79891717508553e-23
16846271	HOXB7	homeobox B7	2.76557266666667	7.0856116	32.319725836724	9.5588011896708e-23	2.27571159323088e-19
16802497	PAQR5	progestin and adipoQ receptor family member V	3.84530666666666	8.068528	30.6085830970934	3.8711005275389e-22	7.8995336408042e-19
16846291	HOXB9	homeobox B9	5.36143733333333	9.0399444	28.0934232492961	3.48096364363009e-21	6.62984335565786e-18
16682402	PADI2	peptidyl arginine deiminase, type II	4.00134966666666	9.3832628	25.6343455618738	3.58984122552867e-20	6.03283376306638e-17
16722278	SPON1	spondin 1, extracellular matrix protein	5.60487766666666	8.7637596	24.7904858823619	8.38923891690094e-20	1.19836083308471e-16
16778887	KIAA0226L	KIAA0226-like	3.998304	6.9514044	23.0274519218129	5.40333143192632e-19	6.43199065327929e-16
16851309	GREB1L	growth regulation by estrogen in breast cancer-like	3.795228	6.7687788	22.6015603338643	8.64031002327178e-19	9.87380068219406e-16
17058601	CLDN3	claudin 3	2.97286066666666	10.9017764	21.939405170116	1.82180703118719e-18	1.92767426199951e-15
17104283	HEPH	hephaestin	4.800436	8.6957396	21.7849503512939	2.174397671413e-18	2.0706789024866e-15
16702399	CELF2	CUGBP, Elav-like family member 2	3.90241566666666	7.7423524	21.7004425545552	2.39655016629219e-18	2.20861424841295e-15
16980974	FAM198B	family with sequence similarity 198, member B	2.87967266666666	6.0690256	20.644131954007	8.32663947752373e-18	6.79667894952501e-15
16863393	IGFL2	IGF-like family member 2	4.89954566666667	7.5550104	19.7303326257427	2.56204223170814e-17	1.66464336763726e-14
16955699	CADPS	Ca++-dependent secretion activator	3.814942	7.0321552	19.7037303456473	2.64906314569411e-17	1.66464336763726e-14
16817630	QPRT	quinolinate phosphoribosyltransferase	4.22118033333333	8.7099512	19.4759475606128	3.53190068409823e-17	2.10214313841672e-14
16846259	HOXB6	homeobox B6	2.77682833333333	7.331384	19.2381722515034	4.78382617236311e-17	2.78916591669881e-14
17044516	HOXA10-AS,MIR196B	HOXA10 antisense RNA,microRNA 196b	2.040142	7.1522132	19.1165844239489	5.59377641552045e-17	3.19617196830007e-14
17056160	HOXA10,HOXA9,MIR196B	homeobox A10,homeobox A9,microRNA 196b	1.76270866666666	7.1511272	18.907901484558	7.33119953000885e-17	3.95179319571364e-14
16846254	HOXB5	homeobox B5	3.57874566666666	6.5475704	18.6821112471044	9.85255150100701e-17	5.02638471129052e-14
17019654	CLIC5	chloride intracellular channel 5	4.060603	7.0743868	18.5109831006962	1.23521112714783e-16	5.98114350703159e-14
17012598	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3	3.48331066666666	7.2885484	18.4961889494672	1.25969891646758e-16	5.99805639076038e-14
17056152	HOXA7	homeobox A7	3.44223566666666	7.5468784	18.4738244535557	1.29767553394957e-16	6.0775889064599e-14
16746992	CCND2	cyclin D2	3.65813166666666	8.450198	18.4477286231153	1.3434906775072e-16	6.0924103437624e-14
16967843	EREG	epiregulin	4.08126833333333	7.437718	18.1677636387977	1.95460740038672e-16	8.46078466994669e-14
16672279	KIRREL	kin of IRRE like (Drosophila)	3.07031333333333	7.963718	18.0687600945712	2.23436843948453e-16	9.52741372352738e-14
16760195	LOC101929549	uncharacterized LOC101929549	2.63144466666666	6.2442068	17.9795921119892	2.52180948962671e-16	1.05949375454625e-13
16666616	PRKACB	protein kinase, cAMP-dependent, catalytic, beta	3.548824	8.4339404	17.8214564049463	3.12947151165281e-16	1.25923762840013e-13
16707009	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	2.46308699999999	9.5481152	17.3567364281598	5.95882108898607e-16	2.26983412921657e-13
17070221	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	2.73251866666666	6.8210652	17.3290251081662	6.19495174765877e-16	2.32873126945873e-13
16975506	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	2.11690433333333	9.0911836	17.2773071432908	6.6618955061783e-16	2.47173626903906e-13
16753426	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1	1.62245999999999	8.582808	17.0598465610225	9.06100794742196e-16	3.24020901913344e-13
16947107	P2RY1	purinergic receptor P2Y, G-protein coupled, 1	3.51490433333333	7.8421576	17.0176798048455	9.62152136302009e-16	3.39354622000149e-13
16929442	TIMP3	TIMP metallopeptidase inhibitor 3	3.27260266666666	8.9293976	16.9055818464468	1.12929264798752e-15	3.88707971811512e-13
16802653	THSD4	thrombospondin, type I, domain containing 4	2.20048966666666	6.9418548	16.8172795680126	1.28196249256069e-15	4.36004600594837e-13
17049627	MUC12	mucin 12, cell surface associated	3.85937866666666	8.1545512	16.6631811878645	1.60161649408663e-15	5.17294862754234e-13
